contact_id,seats,seat_end,seat_start,number_seats,years,num_years,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,renewed,tenure,wins,ot_losses
100093,"[13, 14, 12, 11]",14,11,4,"[2015, 2019]",2,0.9817073170731707,0.5487804878048781,164,80204,0.8884784617602121,['142'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,23,38,14
100159,"[6, 5, 12, 11]",12,5,8,"[2015, 2016, 2017, 2018, 2019]",5,1.0,0.5487804878048781,82,80014,10.395682635516573,['102'],1,0,1,0,0,unknown,0,2018-2019,0.0,1.0,23,38,14
100203,"[6, 5, 3, 4]",6,3,4,"[2015, 2016, 2017, 2018, 2019]",5,0.8292682926829268,0.5487804878048781,82,80111,10.996835490559503,['126'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,23,38,14
100313,"[10, 7, 9, 8]",10,7,4,"[2015, 2016, 2017, 2018, 2019]",5,0.8414634146341463,0.5487804878048781,82,80205,2.1536172516902488,['102'],1,0,1,0,0,mostly_male,2,2018-2019,0.0,1.0,23,38,14
100390,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,0.8658536585365854,0.5487804878048781,164,80210,5.378061818205583,['142'],1,0,1,0,0,mostly_female,1,2018-2019,0.0,1.0,23,38,14
100467,"[7, 6]",7,6,2,"[2015, 2016, 2018, 2019]",4,0.9024390243902439,0.5487804878048781,82,80121,9.90099778112696,['134'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,23,38,14
100555,"[13, 16, 15, 14]",16,13,4,"[2015, 2016, 2017, 2018, 2019]",5,0.6829268292682927,0.5487804878048781,82,80222,6.828016439908511,['353'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,23,38,14
100632,"[22, 21]",22,21,2,"[2015, 2016, 2017, 2018, 2019]",5,0.926829268292683,0.5487804878048781,164,80016,17.5762661692004,['349'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,23,38,14
100676,"[9, 10]",10,9,2,"[2015, 2016, 2017, 2018, 2019]",5,0.0,0.5487804878048781,82,80202,0.41975542715115144,['102'],1,0,1,0,0,female,1,2018-2019,0.0,1.0,23,38,14
100687,"[4, 3]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,0.975609756097561,0.5487804878048781,82,80210,5.378061818205583,['258'],1,0,0,1,0,female,1,2018-2019,0.0,1.0,23,38,14
100929,[18],18,18,1,"[2015, 2016, 2017, 2018, 2019]",5,1.0,0.5487804878048781,41,80035,11.042246228688796,['331'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,23,38,14
