contact_id,season_year,tenure,percent_total_used,flash_profit_loss,renewed
19394004,2014-2015,1,0.877906977,0,
1509142,2014-2015,7,0.900839793,0,
9239498,2014-2015,3,0.88372093,0,
1740091,2014-2015,5,0.802325581,0,
1688543,2014-2015,5,0.744186047,0,
102238,2014-2015,19,0.817829457,0,
18094028,2014-2015,1,0.563953488,0,
100313,2014-2015,19,0.848837209,0,
7002337,2014-2015,6,0.938953488,0,
7313975,2014-2015,3,0.933668076,0,
8325546,2014-2015,3,0.93744988,0.0000411,
1729308,2014-2015,5,0.837209302,0,
213202,2014-2015,12,1,0,
111786,2014-2015,19,0.682926829,0,
1685851,2014-2015,5,0.813953488,0,
151952,2014-2015,18,0.255813953,-0.068694097,
21116467,2014-2015,1,0.912790698,0,
2417196,2014-2015,4,0.848837209,0,
141112,2014-2015,17,0.48255814,0,
1683083,2014-2015,5,0.546511628,0,
21075711,2014-2015,1,0,0,
1793104,2014-2015,4,0,0,
8338992,2014-2015,3,0.674418605,0.049302326,
131850,2014-2015,14,0.854651163,0,
8394016,2014-2015,3,0.662790698,0,
4759415,2014-2015,7,0.441860465,0,
8076174,2014-2015,5,0.604651163,0.050089445,
125415,2014-2015,1,0,0,
2301069,2014-2015,4,0.680232558,0,
258376,2014-2015,12,0.837209302,0,
105945,2014-2015,19,0.941860465,0,
134721,2014-2015,19,0.976744186,0,
9257996,2014-2015,2,0.651162791,0,
124128,2014-2015,19,0.604651163,0,
192039,2014-2015,13,0.860465116,0,
133896,2014-2015,18,0.709302326,0,
108970,2014-2015,19,0.744186047,0,
1659086,2014-2015,5,0.563953488,0,
1534872,2014-2015,7,0.88372093,0,
306571,2014-2015,11,0.906976744,0,
447805,2014-2015,9,0.802325581,0,
9264016,2014-2015,2,0.534883721,0.129302326,
121037,2014-2015,19,0.988372093,0,
176447,2014-2015,15,0.674418605,0,
4771881,2014-2015,7,0.682170543,0,
1698720,2014-2015,5,0.976744186,0.370125224,
223168,2014-2015,12,0.860465116,0,
137306,2014-2015,19,0,0,
136855,2014-2015,19,0.918604651,-0.005447308,
123501,2014-2015,19,0.819767442,0,
141167,2014-2015,17,0.127906977,-0.030693484,
100159,2014-2015,19,0.88372093,0,
120740,2014-2015,19,0.988372093,0,
21244940,2014-2015,1,0.552325581,0,
21090793,2014-2015,1,0.930232558,0,
430322,2014-2015,10,0.598837209,0,
141937,2014-2015,14,0.848837209,0,
18184033,2014-2015,1,0.88372093,0,
107023,2014-2015,19,0.820598007,0,
1707508,2014-2015,5,0,0,
122467,2014-2015,19,0.802325581,0,
9175962,2014-2015,3,0.88372093,0,
1692781,2014-2015,5,0,0,
4816017,2014-2015,7,0.593023256,0,
213081,2014-2015,12,0.776744186,0,
20978668,2014-2015,1,0.918604651,0,
1865043,2014-2015,4,0.76744186,0,
2402725,2014-2015,4,0.906976744,0,
