season_year,contact_id,renewed,Gender,zip,distance,number_of_tix,seat_start,seat_end,section,row,pricecode_desc,aisle,general_location,priceleveldesc,purchase_price_notax,multiple_locations,tenure,percent_total_used,paid_in_full,percent_personally_used,flash_profit_loss,season_performance
2014-2015,139616,1,Male,80304,25.19093049,2,13,14,102,9,Full Renewal,0,Lower,Prime Loge,111,No,17,0.046511628,0,0.046511628,0,0.549
2014-2015,18599039,1,Female,80202,0.545389681,4,7,10,102,12,Full Renewal,0,Lower,Prime Loge,111,No,1,0.755813953,0,0.755813953,0,0.549
2014-2015,157956,1,Female,80401,12.11791161,8,9,12,102,4,Full Renewal,0,Lower,Prime Loge,111,No,19,0.840116279,0,0.840116279,0,0.549
2014-2015,8239001,1,Male,80206,3.111903246,2,7,8,102,10,Full Renewal,0,Lower,Prime Loge,111,No,3,0.662790698,0,0.662790698,0,0.549
2014-2015,105736,1,Male,92707,10,4,1,4,102,7,Full Renewal,1,Lower,Prime Loge,111,No,19,0.569767442,0,0.569767442,0,0.549
2014-2015,120740,1,Male,80026,17.6288244,2,1,2,102,10,Full Renewal,1,Lower,Prime Loge,111,No,19,0.988372093,1,0.988372093,0,0.549
2014-2015,19394004,0,Male,80112,13.93616799,4,15,18,102,13,Full Renewal,1,Lower,Prime Loge,111,No,1,0.877906977,0,0.877906977,0,0.549
2014-2015,223168,0,Male,80155,10,4,9,12,102,10,Full Renewal,0,Lower,Prime Loge,111,No,12,0.860465116,1,0.860465116,0,0.549
2014-2015,2301069,1,Female,28255,10,8,3,16,102,14,Full Renewal,0,Lower,Prime Loge,111,Yes,4,0.680232558,1,0.680232558,0,0.549
2014-2015,225247,1,Female,80524,61.21194946,4,1,18,102,4,Full Renewal,1,Lower,Prime Loge,111,Yes,12,0.895348837,0,0.88372093,-0.001152315,0.549
2014-2015,9397375,1,Male,80202,0.545389681,2,17,18,102,11,Full Renewal,1,Lower,Prime Loge,111,No,2,0.755813953,0,0.523255814,-0.053425519,0.549
2014-2015,122984,1,Male,80403,18.43365062,4,7,10,102,11,Full Renewal,0,Lower,Prime Loge,111,No,19,0.773255814,0,0.773255814,0,0.549
